__v,_id,address,contact_mail,contact_name,contact_phone_number,created_at,end_date,id,name,organization_code,start_date
0,619486b1f9f5d115d61fd986,"4th Floor , Lulu cyber tower-1,  infopark",wdsd@gmail.com,asdasd,+919847444106,1637123761314,2021-11-14,4,Abdulla Thanseeh2,CCS TECHNOLGIES P LTD345,2021-11-07
0,619bef77f9f5d115d61fdab8,"Infopark, Kochi",test2@gmail.com,Arjun,9633781897,1637609335776,2022-11-23,10,CCS,CCS2,2021-11-23
0,619dff53f9f5d115d61fdae8,"Kakkanad, Kochi1",alice1@gmail.com,Alice1,9989887761,1637744467754,2027-05-24,11,Info Tech Solutions1,A223,2021-11-24
0,619e03b8f9f5d115d61fdb00,Sample1111,alice1111@gmail.com,Alice1111,9988775652,1637745592953,2021-11-24,15,AAAA1111,AA12111,2021-11-24
0,619e05f2f9f5d115d61fdb1c,"4th Floor , Lulu cyber tower-1,  infopark",test2@gmail.com,asd2,+919847444106,1637746162538,2021-11-24,20,asd,CCS TECHNOLGIES P LTD,2021-11-24
0,619e0765f9f5d115d61fdb43,"4th Floor , Lulu cyber tower-1,  infopark",wdsd@gmail.com,asd2,+919847444106,1637746533129,0004-03-31,28,Abdulla Thanseeh,CCS TECHNOLGIES P LTD2,2021-11-24
0,619e078ef9f5d115d61fdb48,"4th Floor , Lulu cyber tower-1,  infopark",wdsd@gmail.com,asd2,+919847444106,1637746574989,2021-11-24,29,Abdulla Thanseeh,CCS TECHNOLGIES P LTD33,2021-11-13
0,619e101cf9f5d115d61fdb61,121,wds1d@gmail.com,asd1,1234567890,1637748764205,2021-12-12,31,121,12,2021-11-25
0,619eb2a1f9f5d115d61fdb97,CCS111,CCS111@gmail.com,CCS111,1234567890,1637790369320,2021-11-25,32,CCS111,CCS111,2021-11-25
0,619f3774f9f5d115d61fdbab,Sample,sample@gmail.com,Aiswarya,9999999999,1637824372727,2021-11-25,35,Sample,Sample,2021-11-01
0,619f3895f9f5d115d61fdbb5,Address,alice@gmail.com,Alice,9989887761,1637824661794,2022-01-29,37,SAAA,SAAA,2021-11-25
0,61a728b6296590d729a37c40,Address,alice1@gmail.com,Aiswarya,9989887761,1638344886260,2021-12-01,39,ABC Org,988,2021-12-01
0,61a8aed5bc9c648e8215b1ee,"Address 1, Lane 1",aiswarya@email.com,Aiswarya,9999999991,1638444757090,2021-12-25,41,My new Org,My new Org,2021-12-02
0,61dbbdfe07327ca81b3b3f3d,Lulu Cyber Tower,samplename@email.com,Sample Name,7676665554,1641790974672,2023-01-10,1,CCS Technologies,CCS_K,2022-01-10
